episode,target,method,horizon,final_tracking_error,mean_tracking_error,success_5cm_equiv,success_10cm_equiv,clipped_steps,residual_sum
0,short_2link,raw_copy,18,0.0025310101284885993,0.021107776407361147,1,1,0,nan
0,short_2link,ejar_absolute,18,0.05171326156616749,0.03400954749511076,0,1,10,0.2791440345687443
1,long_2link,raw_copy,18,0.18968775885133832,0.1615341479414151,0,0,0,nan
1,long_2link,ejar_absolute,18,0.012861716126780299,0.013024244066233188,1,1,1,0.017607823190552194
2,asymmetric_3link,raw_copy,18,0.171139019658583,0.07563136452784906,0,0,0,nan
2,asymmetric_3link,ejar_absolute,18,0.027787084134491827,0.015141387045215247,1,1,5,0.042803946994299936
3,short_2link,raw_copy,18,0.01731882898578358,0.10519829763601916,1,1,0,nan
3,short_2link,ejar_absolute,18,0.03135046763220444,0.021235848161260527,1,1,6,0.059353698044524617
4,long_2link,raw_copy,18,0.2632606268101012,0.202896193978213,0,0,0,nan
4,long_2link,ejar_absolute,18,0.011761081254538413,0.0056293920217829856,1,1,2,0.011927543839723763
5,asymmetric_3link,raw_copy,18,0.09324711434621999,0.18792951270071306,0,1,0,nan
5,asymmetric_3link,ejar_absolute,18,0.021504804275232717,0.013578204379585488,1,1,1,0.01758352473223522
6,short_2link,raw_copy,18,0.09412861391836902,0.10017741587895462,0,1,0,nan
6,short_2link,ejar_absolute,18,0.020994427945880623,0.01622561058862966,1,1,7,0.0823862716055522
7,long_2link,raw_copy,18,0.07464350703254406,0.041019295660680605,0,1,0,nan
7,long_2link,ejar_absolute,18,0.013219051261231378,0.007042284234644865,1,1,0,0.003981289352567343
8,asymmetric_3link,raw_copy,18,0.13506885203518323,0.07784218137421987,0,0,0,nan
8,asymmetric_3link,ejar_absolute,18,0.05087766818984094,0.02978735476924162,0,1,7,0.1135738746422122
9,short_2link,raw_copy,18,0.22827696892354923,0.21351040478456917,0,0,0,nan
9,short_2link,ejar_absolute,18,0.06168045110442656,0.04475721812692367,0,1,10,0.21760466872231488
10,long_2link,raw_copy,18,0.035243121476284923,0.07530826227425018,1,1,0,nan
10,long_2link,ejar_absolute,18,0.005444284146225634,0.0027602085170419796,1,1,0,0.0016705306668973797
11,asymmetric_3link,raw_copy,18,0.2100355125622834,0.17315894804246793,0,0,0,nan
11,asymmetric_3link,ejar_absolute,18,0.01997868982887912,0.013452141714619266,1,1,2,0.013643273027456724
12,short_2link,raw_copy,18,0.5478662390350019,0.18794617879686235,0,0,0,nan
12,short_2link,ejar_absolute,18,0.16021673735334815,0.06118676047012228,0,0,8,0.3771071547562031
13,long_2link,raw_copy,18,0.05300611817775682,0.05187027251820992,0,1,0,nan
13,long_2link,ejar_absolute,18,0.029930826531966936,0.01271441262541024,1,1,9,0.13460476987974465
14,asymmetric_3link,raw_copy,18,0.06744898920210975,0.044626167418929004,0,1,0,nan
14,asymmetric_3link,ejar_absolute,18,0.036933536867764676,0.018794267683245713,1,1,8,0.09623972913215405
15,short_2link,raw_copy,18,0.16646319655426267,0.09330959962740541,0,0,0,nan
15,short_2link,ejar_absolute,18,0.03040557409000463,0.027349004695429967,1,1,6,0.059253840995770635
16,long_2link,raw_copy,18,0.2481449101630618,0.39728940919671013,0,0,0,nan
16,long_2link,ejar_absolute,18,0.004393163365970218,0.02128997367095104,1,1,7,0.10667250827956752
17,asymmetric_3link,raw_copy,18,0.15500104786010951,0.056530399084587554,0,0,0,nan
17,asymmetric_3link,ejar_absolute,18,0.08198657246833808,0.04159665969207757,0,1,15,0.6249479624347224
18,short_2link,raw_copy,18,0.37324080538987076,0.22266721201356926,0,0,0,nan
18,short_2link,ejar_absolute,18,0.04732970301208242,0.030390088106275175,1,1,9,0.06974935358482531
19,long_2link,raw_copy,18,0.2783528033559115,0.1189748802915605,0,0,0,nan
19,long_2link,ejar_absolute,18,0.005896567607899501,0.0033409986132503402,1,1,0,0.0015269768548733015
20,asymmetric_3link,raw_copy,18,0.5142069789157225,0.25524585493146607,0,0,0,nan
20,asymmetric_3link,ejar_absolute,18,0.10217249806060336,0.07459076090523534,0,0,4,0.12907928945488564
21,short_2link,raw_copy,18,0.21258651945381352,0.1049976792715924,0,0,0,nan
21,short_2link,ejar_absolute,18,0.11744363156283152,0.06529684974891913,0,0,15,0.5174114065707485
22,long_2link,raw_copy,18,0.05183122093457644,0.03976255327257658,0,1,0,nan
22,long_2link,ejar_absolute,18,0.013891826289177539,0.007329722433722511,1,1,0,0.0015965844261615879
23,asymmetric_3link,raw_copy,18,0.11704090176393268,0.1877835941909812,0,0,0,nan
23,asymmetric_3link,ejar_absolute,18,0.030406662878882412,0.0685454214686448,1,1,13,0.5899772082197412
24,short_2link,raw_copy,18,0.009870258253713274,0.02958203984431881,1,1,0,nan
24,short_2link,ejar_absolute,18,0.013270318397125964,0.006563375284523327,1,1,1,0.011815740533874996
25,long_2link,raw_copy,18,0.3983487783932846,0.27407889908977334,0,0,0,nan
25,long_2link,ejar_absolute,18,0.13368451313181973,0.08143154088557782,0,0,12,0.4077791079431726
26,asymmetric_3link,raw_copy,18,0.24252397852811536,0.13815251982736249,0,0,0,nan
26,asymmetric_3link,ejar_absolute,18,0.025033369222433523,0.01780943497444336,1,1,4,0.06542701791496221
27,short_2link,raw_copy,18,0.47530576105101413,0.2228267906271523,0,0,0,nan
27,short_2link,ejar_absolute,18,0.2914424229486957,0.15795195049972924,0,0,11,0.3494816830367745
28,long_2link,raw_copy,18,0.4286508900941556,0.31299483917196597,0,0,0,nan
28,long_2link,ejar_absolute,18,0.011779628199191905,0.010552321380327781,1,1,2,0.015721558323409424
