trial,target,scale,infeasible,true_relative_residual,ejar_residual_score,static_residual_score,action_norm_score,condition_score,clipped
0,asym_3link,0.35,0,0.017268314125593782,0.0005950016131008103,0.0007127717299761707,0.13938066177704808,87.19988685756924,0
1,large_6link,0.7,0,0.0008448991687213446,6.725868188230413e-05,0.13712860543426672,0.22833092809598787,2.9086159261613336,0
2,redundant_4link,1.0,0,0.0010247829653644727,0.00012633973636019355,0.11910528766381748,0.4828535435421087,5.029817357360113,0
3,short_2link,1.35,0,0.010329803569985438,0.0006348418307318827,0.03344666888079799,0.9440451414832394,4.881641668978156,0
4,soft_5link,1.75,1,0.14138606464483675,0.010251624897404558,0.026857939947500784,0.6626564099176758,12.528176242571853,1
5,wide_2link,2.25,1,0.5172801012606127,0.08167488013083353,0.08033245978062445,0.5878963576313806,2.1619308257365453,1
6,snake_6link,0.35,0,0.004244824454180125,7.422547677539549e-05,0.020281127773482992,0.1411359703533458,1.4244152170651512,0
7,heavy_3link,0.7,0,0.0019415020038911748,0.00013322339900477165,0.015086750309953701,0.31920507062606807,4.466109462478859,0
8,teacher_2link,1.0,0,0.009194825067479687,0.0003958793800115063,0.023821009619775055,0.6861909900042374,5.767112413564844,0
9,long_4link,1.35,0,0.1151310724620772,0.0034421250689263207,0.005178325159488497,0.37823854994353523,62.85359685214504,0
10,long_2link,1.75,1,0.25490004985363934,0.04635425928047777,0.06717191411340713,0.9291861797157319,2.8489896454984702,1
11,needle_5link,2.25,1,0.4262369150062994,0.026254229759572763,0.08204751561410652,0.653272633784025,3.7574145807953796,1
12,asym_3link,0.35,0,0.011607049158450029,0.00012613007504695749,0.009538378063322923,0.17913022010273413,3.7799013601770555,0
13,large_6link,0.7,0,0.006354132339596784,0.00018379407496535351,0.028325766027865986,0.26797605870905206,3.1269227985123464,0
14,redundant_4link,1.0,0,0.009672940678908124,0.00035952499009491063,0.059669896857038295,0.4669866061416357,4.359858883765864,0
15,short_2link,1.35,0,0.04268180202081975,0.003496918932679579,0.07602668334394688,0.5906195865115466,258.29539868728256,0
16,soft_5link,1.75,1,0.29688608443667275,0.04101273451389261,0.06698463879908616,0.5750553727113564,6.679165599908948,1
17,wide_2link,2.25,1,0.30350920159317124,0.019441451586367734,0.03518360888048529,0.932953530803104,18.52722971234517,1
18,snake_6link,0.35,1,0.1505026579953969,0.0010375652697169496,0.0011654875920611844,0.04829629125802666,147.0372557737539,0
19,heavy_3link,0.7,0,0.003653626335120248,0.0001428162453910032,0.048299385172495664,0.41014432516403465,1.9112179142782428,0
20,teacher_2link,1.0,0,0.0018237820697405308,0.00018569829903178746,0.042216156598267995,0.741344851169758,3.639635143050652,0
21,long_4link,1.35,1,0.10044502857756005,0.00899788456617112,0.054795065408607534,0.6564102416383947,1.9575220551899377,1
22,long_2link,1.75,1,0.3257511327114589,0.054283010013574585,0.08706361700584031,0.8177742289556679,3.370285493064747,1
23,needle_5link,2.25,1,0.20489652257379917,0.033677755740463715,0.062372519455953845,0.6802866352118416,3.3212569172162345,1
24,asym_3link,0.35,0,0.00445460292938703,0.0001012387727697041,0.00877965220962509,0.19767852231328598,3.552108795975326,0
25,large_6link,0.7,0,0.008603839294564744,0.00021043618786054387,0.025922665655323023,0.2907427245889363,2.218338598066626,0
26,redundant_4link,1.0,0,0.011134477417674794,0.00043500660979478876,0.03069609769673716,0.5078595794900006,5.999498752871876,0
27,short_2link,1.35,1,0.21920206243360993,0.03091373960509745,0.028383401216980103,0.8170457202405357,108.15405823462716,1
28,soft_5link,1.75,1,0.06866986394078976,0.006461535492057641,0.11756963211718728,0.7262025068284844,2.053369010311023,1
29,wide_2link,2.25,1,0.4660971081108747,0.08703207589900899,0.09362609333275097,0.7451780582235324,4.8746074785609474,1
30,snake_6link,0.35,0,0.00411572212979405,0.0001211190724708709,0.011719582850470558,0.152129581819549,5.835992315138048,0
31,heavy_3link,0.7,0,0.003480754138199686,0.00015678507939406467,0.019738900535535443,0.335374627886537,2.4881848908031277,0
32,teacher_2link,1.0,0,0.003963166190120388,0.00022449066479054993,0.05201707324934885,0.6603913702765959,2.5922953823466215,0
33,long_4link,1.35,1,0.024514410314850466,0.0023989084560169815,0.12034268806902082,0.5331772783350721,1.527879969253285,1
34,long_2link,1.75,1,0.40430593094843,0.08592713793536225,0.05660692333307482,0.7491383521874334,18.98277013115591,1
35,needle_5link,2.25,1,0.31541931430466874,0.017153661357682697,0.04826475288567429,0.6616456987272001,5.590316710657822,1
36,asym_3link,0.35,0,0.0066699584400620095,0.00027480338713557154,0.0002875668328622927,0.1740539548796891,212.77110270869017,0
37,large_6link,0.7,0,0.004481585659412632,0.00018581732312803988,0.02224269973653525,0.24266079228675724,3.6218306980927246,0
38,redundant_4link,1.0,0,0.0005420326593762243,7.546675685430415e-05,0.082378074835108,0.48309012850758276,7.351358676879966,0
39,short_2link,1.35,1,0.07503503885213783,0.003579677571893498,0.031015698224269698,0.8454796931283872,3.4924898299492315,1
40,soft_5link,1.75,0,0.03185313045414819,0.0012871426833617927,0.02458676781842944,0.7719640825585151,11.372032867359556,0
41,wide_2link,2.25,1,0.4890179684001962,0.06802316804845727,0.042261887264990854,0.9133607755494555,15.291043905079725,1
